Team,City,State,Venue,League,Abbv,image_file
Islanders,New York,New York,Nassau Veterans Memorial Coliseum,NHL,nyi,islanders
Rangers,New York,New York,Madison Square Garden,NHL,nyr,rangers
Flyers,Philadelphia,Pennsylvania,Wells Fargo Center,NHL,phi,flyers
Penguins,Pittsburgh,Pennsylvania,Consol Energy Center,NHL,pit,penguins
Bruins,Boston,Massachusetts,TD Garden,NHL,bos,bruins
Sabres,Buffalo,New York,First Niagara Center,NHL,buf,sabres
Canadiens,Montreal,Quebec,Bell Centre,NHL,mon,canadiens
Senators,Ottawa,Ontario,Scotiabank Place,NHL,ott,senators
Maple Leafs,Toronto,Ontario,Air Canada Centre,NHL,tor,mapleLeafs
Hurricanes,Carolina,North Carolina,RBC Center,NHL,car,hurricanes
Panthers,Florida,Florida,BankAtlantic Center,NHL,fla,panthers-1
Lightning,Tampa Bay,Florida,Tampa Bay Times Forum,NHL,tb,lightning
Capitals,Washington,D.C.,Verizon Center,NHL,wsh,capitals
Jets,Winnipeg,Manitoba,MTS Centre,NHL,wpg,jets-1
Blackhawks,Chicago,Illinois,United Center,NHL,chi,blackhawks
Blue Jackets,Columbus,Ohio,Nationwide Arena,NHL,cbj,blueJackets
Red Wings,Detroit,Michigan,Joe Louis Arena,NHL,det,redWings
Predators,Nashville,Tennessee,Bridgestone Arena,NHL,nsh,predators
Blues,St. Louis,Missouri,Scottrade Center,NHL,stl,blues
Flames,Calgary,Alberta,Scotiabank Saddledome,NHL,cgy,flames
Avalanche,Colorado,Colorado,Pepsi Center,NHL,col,avalanche
Oilers,Edmonton,Alberta,Rexall Place,NHL,edm,oilers
Wild,Minnesota,Minnesota,Xcel Energy Center,NHL,min,wild
Canucks,Vancouver,British Columbia,Rogers Arena,NHL,van,canucks
Ducks,Anaheim,California,Honda Center,NHL,ana,ducks
Stars,Dallas,Texas,American Airlines Center,NHL,dal,stars
Kings,Los Angeles,California,Staples Center,NHL,lak,kings
Coyotes,Arizona,Arizona,Jobing.com Arena,NHL,ari,coyotes
Sharks,San Jose,California,HP Pavilion at San Jose,NHL,sj,sharks
Golden Knights,Las Vegas,Nevada,T-Mobile Arena,NHL,vgk,goldenKnights
